,Wine,MiddlePhalanxOutlineCorrect,SonyAIBORobotSurface1,BeetleFly,TwoLeadECG,HandOutlines,Lightning2,FaceFour,ToeSegmentation2,ECG200,ItalyPowerDemand,Meat,SonyAIBORobotSurface2,Coffee,BirdChicken,GunPoint,CinCECGTorso,MoteStrain
Train Size,57.0,600.0,20.0,20.0,23.0,1000.0,60.0,24.0,36.0,100.0,67.0,60.0,27.0,28.0,20.0,50.0,40.0,20.0
Test Size,54.0,291.0,601.0,20.0,1139.0,370.0,61.0,88.0,130.0,100.0,1029.0,60.0,953.0,28.0,20.0,150.0,1380.0,1252.0
Series Length,234.0,80.0,70.0,512.0,82.0,2709.0,637.0,350.0,343.0,96.0,24.0,448.0,65.0,286.0,512.0,150.0,1639.0,84.0
N Estimators,10.0,10.0,17.0,26.0,54.0,59.0,65.0,84.0,98.0,101.0,169.0,193.0,217.0,233.0,233.0,233.0,245.0,300.0
Mean EU Features (± Std),3.453 (± 0.710),18.000 (± 5.725),3.312 (± 0.583),3.071 (± 0.258),3.515 (± 0.925),3.252 (± 0.558),3.102 (± 0.370),3.127 (± 0.418),3.138 (± 0.379),4.042 (± 1.148),5.500 (± 2.082),3.077 (± 0.266),3.333 (± 0.532),3.111 (± 0.314),3.024 (± 0.152),3.276 (± 0.484),3.102 (± 0.354),3.263 (± 0.714)
Test Accuracy,0.759,0.821,0.577,0.85,0.775,0.894,0.738,0.739,0.731,0.81,0.959,0.933,0.794,1.0,0.5,0.88,0.714,0.884
CV Score,0.705,0.777,0.8,0.7,0.82,0.879,0.883,0.88,0.804,0.88,0.986,1.0,0.893,1.0,0.85,0.96,0.725,0.85
Total Time (ms),580118.0,1469590.0,93066.0,4947272.0,33251.0,5999882.0,1482647.0,15835.0,2710865.0,45937485.0,4850.0,30077438.0,4952624.0,26156013.0,4285450.0,6119.0,8650001.0,2205104.0
ICF Checks,2164.0,976.0,32738.0,24975.0,56944.0,5141.0,2042.0,1700.0,4013.0,3507.0,98010.0,3142.0,2051.0,5382.0,8494.0,15932.0,1128.0,3218.0
Reason Check Iteration,235916.0,228277.0,37299.0,124132.0,20677.0,2458537.0,144482.0,2901.0,1002539.0,13825002.0,12849.0,7017067.0,2054688.0,6255421.0,249253.0,9676.0,2032222.0,657010.0
IterGoodRadio %,20.5,89.9,71.6,13.3,52.3,76.3,83.0,71.89999999999999,88.5,87.0,57.49999999999999,96.4,91.2,57.49999999999999,5.7,60.8,92.5,93.3
IterBadRadio %,79.5,10.1,28.4,86.7,47.7,23.7,17.0,28.1,11.5,13.0,42.5,3.6,8.799999999999999,42.5,94.3,39.2,7.5,6.7
Early Stop Good,116610.0,109833.0,7305.0,39144.0,895.0,1071821.0,70412.0,2239.0,472351.0,6752764.0,937.0,3452320.0,999771.0,3073164.0,104951.0,1745.0,993588.0,319328.0
Early Stop from Good,24323.0,98584.0,5985.0,7183.0,677.0,803728.0,59002.0,1871.0,418843.0,5877668.0,772.0,3328503.0,913153.0,1769095.0,9194.0,1270.0,919652.0,298285.0
Early Stop from Bad,92287.0,11249.0,1320.0,31961.0,218.0,268093.0,11410.0,368.0,53508.0,875096.0,165.0,123817.0,86618.0,1304069.0,95757.0,475.0,73936.0,21043.0
Filtrered Rate %,41.6,6.7,94.1,76.3,94.9,91.1,32.9,34.5,47.9,28.4,92.5,47.8,24.2,37.6,51.1,94.7,47.7,22.0
N Features,86.0,80.0,32.0,42.0,33.0,880.0,88.0,63.0,80.0,72.0,24.0,39.0,33.0,27.0,42.0,58.0,118.0,38.0
EU Complexity,297.0,1440.0,106.0,129.0,116.0,2862.0,273.0,197.0,251.0,291.0,132.0,120.0,110.0,84.0,127.0,190.0,366.0,124.0
EU Min,3.0,7.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
EU Max,6.0,39.0,5.0,4.0,6.0,8.0,5.0,5.0,5.0,7.0,11.0,4.0,5.0,4.0,4.0,5.0,5.0,6.0
