sample_id,robustness,predicted_label,actual_label,correct_prediction
ECG200_-1_4,0.4821410443943137,-1,1,False
ECG200_-1_5,0.5282622412522173,-1,-1,True
ECG200_-1_6,0.5169318874116142,-1,-1,True
ECG200_-1_7,0.4898988666876051,-1,-1,True
ECG200_-1_8,0.3928661697854341,-1,1,False
ECG200_-1_9,0.5508139920169066,-1,-1,True
ECG200_-1_0,0.5261823710449973,-1,1,False
ECG200_-1_13,0.5369919723180492,-1,-1,True
ECG200_-1_10,0.5305671756175978,-1,-1,True
ECG200_-1_11,0.4738445343153386,-1,1,False
ECG200_-1_12,0.48175144598422437,-1,-1,True
ECG200_-1_17,0.5204410871531469,-1,-1,True
ECG200_-1_14,0.47941973367331403,-1,-1,True
ECG200_-1_15,0.5336169579375705,-1,-1,True
ECG200_-1_16,0.5231148233231895,-1,-1,True
ECG200_-1_18,0.4614193297632526,-1,-1,True
ECG200_-1_19,0.5071447746100484,-1,-1,True
ECG200_-1_1,0.5033065847307348,-1,-1,True
ECG200_-1_23,0.5077463813275098,-1,-1,True
ECG200_-1_20,0.5256681640412364,-1,-1,True
ECG200_-1_21,0.5197374247700115,-1,-1,True
ECG200_-1_22,0.5445105323112458,-1,-1,True
ECG200_-1_27,0.5102687481766648,-1,1,False
ECG200_-1_24,0.5400482716212875,-1,-1,True
ECG200_-1_25,0.5316697242431458,-1,-1,True
ECG200_-1_26,0.47012849397057344,-1,-1,True
ECG200_-1_28,0.5039796814376392,-1,-1,True
ECG200_-1_2,0.5307956432735204,-1,1,False
ECG200_-1_3,0.5271070031717278,-1,-1,True
