sample_id,robustness,predicted_label,actual_label,correct_prediction
GunPoint_1_3,0.855582292663678,1,1,True
GunPoint_1_0,0.8556552189676089,1,1,True
GunPoint_1_10,0.8516264066756681,1,1,True
GunPoint_1_11,0.8543594654474707,1,1,True
GunPoint_1_12,0.850568792027875,1,1,True
GunPoint_1_13,0.8517820420536891,1,1,True
GunPoint_1_14,0.855596065567831,1,1,True
GunPoint_1_15,0.8525579166486936,1,1,True
GunPoint_1_16,0.8561639960832937,1,1,True
GunPoint_1_17,0.8559377753906744,1,1,True
GunPoint_1_18,0.8548805551935721,1,1,True
GunPoint_1_19,0.8514041518352115,1,1,True
GunPoint_1_1,0.8571508157310961,1,1,True
GunPoint_1_20,0.853502269728432,1,1,True
GunPoint_1_21,0.851765691377423,1,1,True
GunPoint_1_22,0.8517390073154985,1,1,True
GunPoint_1_23,0.8510012990900969,1,2,False
GunPoint_1_24,0.8525817137498047,1,1,True
GunPoint_1_25,0.8521030760692548,1,1,True
GunPoint_1_26,0.8548732252731632,1,1,True
GunPoint_1_27,0.8522819270046362,1,2,False
GunPoint_1_28,0.8517701397501165,1,2,False
GunPoint_1_29,0.8543796917355527,1,2,False
GunPoint_1_2,0.8543516358649208,1,1,True
GunPoint_1_30,0.8535154909025503,1,1,True
GunPoint_1_31,0.8575875894509795,1,1,True
GunPoint_1_32,0.855471494712898,1,1,True
GunPoint_1_33,0.854417535927043,1,1,True
GunPoint_1_34,0.8562887214666646,1,2,False
GunPoint_1_35,0.8555855705484301,1,1,True
GunPoint_1_36,0.8537823100955586,1,1,True
GunPoint_1_37,0.8532315265362855,1,1,True
GunPoint_1_38,0.8527860837084412,1,1,True
GunPoint_1_39,0.8532036339809028,1,1,True
GunPoint_1_7,0.8557026689619155,1,1,True
GunPoint_1_40,0.8538052705123902,1,2,False
GunPoint_1_41,0.8512128552174931,1,2,False
GunPoint_1_42,0.8556238252339705,1,1,True
GunPoint_1_43,0.8552552617388129,1,1,True
GunPoint_1_44,0.8583018168210841,1,1,True
GunPoint_1_45,0.8555529073565535,1,1,True
GunPoint_1_46,0.8517636891470282,1,2,False
GunPoint_1_47,0.8564320392893828,1,1,True
GunPoint_1_48,0.8529830355132122,1,1,True
GunPoint_1_49,0.8571985742898793,1,1,True
GunPoint_1_4,0.8523431218307296,1,2,False
GunPoint_1_50,0.8539729516621308,1,1,True
GunPoint_1_51,0.8553022100133878,1,1,True
GunPoint_1_52,0.856445173091605,1,1,True
GunPoint_1_53,0.8535780094284274,1,1,True
GunPoint_1_54,0.8560855172564665,1,1,True
GunPoint_1_55,0.8532067859811765,1,1,True
GunPoint_1_56,0.853025447070322,1,2,False
GunPoint_1_57,0.8535772343216075,1,1,True
GunPoint_1_58,0.8550203810417623,1,1,True
GunPoint_1_59,0.8536923219741306,1,2,False
GunPoint_1_5,0.8558751533216514,1,1,True
GunPoint_1_60,0.8537435011831584,1,1,True
GunPoint_1_61,0.8536019331079508,1,1,True
GunPoint_1_62,0.8514626856141472,1,1,True
GunPoint_1_63,0.8502528676789189,1,1,True
GunPoint_1_64,0.8528857067311653,1,1,True
GunPoint_1_65,0.8507385148833327,1,1,True
GunPoint_1_66,0.8552471125690966,1,1,True
GunPoint_1_67,0.8575423895917202,1,1,True
GunPoint_1_68,0.8522158686257646,1,1,True
GunPoint_1_69,0.853642841930887,1,1,True
GunPoint_1_6,0.8593765306772883,1,1,True
GunPoint_1_70,0.8537653825207827,1,1,True
GunPoint_1_71,0.8564919093168493,1,1,True
GunPoint_1_72,0.855875082455504,1,1,True
GunPoint_1_73,0.8523990904344504,1,1,True
GunPoint_1_74,0.8535378740523422,1,1,True
GunPoint_1_75,0.8517602704597077,1,1,True
GunPoint_1_76,0.8538927438957558,1,1,True
GunPoint_1_77,0.8541123054179773,1,1,True
GunPoint_1_78,0.8548409388805337,1,2,False
GunPoint_1_79,0.853063730257438,1,1,True
GunPoint_1_80,0.855707955709025,1,1,True
GunPoint_1_8,0.8540635571397756,1,1,True
GunPoint_1_9,0.8530109559200838,1,1,True
