sample_id,robustness,predicted_label,actual_label,correct_prediction
Lightning2_-1_3,0.48356854312801634,-1,-1,True
Lightning2_-1_0,0.5221269923525655,-1,1,False
Lightning2_-1_10,0.51005235379074,-1,1,False
Lightning2_-1_11,0.5159523032402957,-1,1,False
Lightning2_-1_12,0.5096460749537701,-1,-1,True
Lightning2_-1_13,0.5381410588448561,-1,-1,True
Lightning2_-1_14,0.5209010779344834,-1,1,False
Lightning2_-1_15,0.5276121228595816,-1,-1,True
Lightning2_-1_16,0.5274397824891026,-1,-1,True
Lightning2_-1_17,0.5351878926977238,-1,-1,True
Lightning2_-1_18,0.5198545893180375,-1,-1,True
Lightning2_-1_19,0.5487842995655663,-1,-1,True
Lightning2_-1_1,0.44686577583175346,-1,-1,True
Lightning2_-1_20,0.4969811582577568,-1,1,False
Lightning2_-1_21,0.5554578967355938,-1,-1,True
Lightning2_-1_22,0.5554199670330321,-1,-1,True
Lightning2_-1_23,0.5418013523582809,-1,-1,True
Lightning2_-1_24,0.5109764496733777,-1,-1,True
Lightning2_-1_25,0.5224607424624994,-1,1,False
Lightning2_-1_2,0.47613206088415316,-1,1,False
Lightning2_-1_7,0.48354658290978714,-1,-1,True
Lightning2_-1_4,0.5475637251277995,-1,-1,True
Lightning2_-1_5,0.5353844871977036,-1,-1,True
Lightning2_-1_6,0.5179240535001318,-1,-1,True
Lightning2_-1_8,0.5181338631299505,-1,-1,True
Lightning2_-1_9,0.5144817855874011,-1,-1,True
