dataset,Total time (s) max,Total time (s) mean,ICF checks,Reason check iteration total,IterGoodRatio,IterBadRatio,Early Stop Good total,Early Stop from Good,Early Stop from Bad,Filtrered rate,selected_sample
BeetleFly,14914.644,4947.272,24975,124132,0.133,0.867,39144,7183,31961,0.763,
BirdChicken,9732.069,4285.45,8494,249253,0.057,0.943,104951,9194,95757,0.511,
CinCECGTorso,42212.285,8650.001,1128,2032222,0.925,0.075,993588,919652,73936,0.477,
Coffee,63217.287,26156.013,5382,6255421,0.575,0.425,3073164,1769095,1304069,0.376,
ECG200,117779.088,45937.485,3507,13825002,0.87,0.13,6752764,5877668,875096,0.284,
FaceFour,97.582,15.835,1700,2901,0.719,0.281,2239,1871,368,0.345,
GunPoint,12.237,6.119,15932,9676,0.608,0.392,1745,1270,475,0.947,
HandOutlines,31710.246,5999.882,5141,2458537,0.763,0.237,1071821,803728,268093,0.911,
ItalyPowerDemand,9.031,4.85,98010,12849,0.575,0.425,937,772,165,0.925,
Lightning2,38043.102,1482.647,2042,144482,0.83,0.17,70412,59002,11410,0.329,
Meat,67349.05,30077.438,3142,7017067,0.964,0.036,3452320,3328503,123817,0.478,
MiddlePhalanxOutlineCorrect,16206.241,1469.59,976,228277,0.899,0.101,109833,98584,11249,0.067,
MoteStrain,32083.284,2205.104,3218,657010,0.933,0.067,319328,298285,21043,0.22,
SonyAIBORobotSurface1,153.292,93.066,32738,37299,0.716,0.284,7305,5985,1320,0.941,
SonyAIBORobotSurface2,59740.812,4952.624,2051,2054688,0.912,0.088,999771,913153,86618,0.242,
ToeSegmentation2,38179.474,2710.865,4013,1002539,0.885,0.115,472351,418843,53508,0.479,
TwoLeadECG,43.364,33.251,56944,20677,0.523,0.477,895,677,218,0.949,
Wine,5375.737,580.118,2164,235916,0.205,0.795,116610,24323,92287,0.416,
All workers,117779.088,7755.978,271557,36367948,0.824,0.176,17589178,14537788,3051390,0.547,
