dataset,analyzed,train_size,test_size,series_length,n_estimators,mean eu features,eu std,n_features,eu_complexity,eu_min,eu_max
Wine,YES,57,54,234,10,3.453,0.71,86.0,297.0,3.0,6.0
Wafer,NO,1000,6164,152,10,4.674,1.629,129.0,603.0,3.0,10.0
MiddlePhalanxOutlineCorrect,YES,600,291,80,10,18.0,5.725,80.0,1440.0,7.0,39.0
MelbournePedestrian,NO,1138,2319,24,10,60.667,10.515,24.0,1456.0,37.0,82.0
ChlorineConcentration,NO,467,3840,166,10,10.795,3.718,166.0,1792.0,4.0,25.0
ScreenType,NO,375,375,720,10,4.363,1.421,600.0,2618.0,3.0,10.0
FordA,NO,3601,1320,500,10,17.622,4.115,500.0,8811.0,7.0,31.0
FordB,NO,3636,810,500,10,17.928,4.101,500.0,8964.0,8.0,33.0
ElectricDevices,NO,8926,7711,96,10,310.906,61.024,96.0,29847.0,189.0,433.0
SonyAIBORobotSurface1,YES,20,601,70,17,3.312,0.583,32.0,106.0,3.0,5.0
DiatomSizeReduction,NO,16,306,345,17,3.02,0.139,51.0,154.0,3.0,4.0
NonInvasiveFetalECGThorax2,NO,1800,1965,750,20,7.82,3.45,744.0,5818.0,3.0,27.0
BeetleFly,YES,20,20,512,26,3.071,0.258,42.0,129.0,3.0,4.0
TwoLeadECG,YES,23,1139,82,54,3.515,0.925,33.0,116.0,3.0,6.0
ECG5000,NO,500,4500,140,54,5.659,2.14,135.0,764.0,3.0,12.0
HandOutlines,YES,1000,370,2709,59,3.252,0.558,880.0,2862.0,3.0,8.0
Lightning2,YES,60,61,637,65,3.102,0.37,88.0,273.0,3.0,5.0
SwedishLeaf,NO,500,625,128,78,16.289,4.707,128.0,2085.0,8.0,35.0
FaceFour,YES,24,88,350,84,3.127,0.418,63.0,197.0,3.0,5.0
Trace,NO,100,100,275,90,3.369,0.617,122.0,411.0,3.0,5.0
FacesUCR,NO,200,2050,131,92,9.377,2.661,130.0,1219.0,4.0,18.0
ShapeletSim,NO,20,180,500,98,3.1,0.3,40.0,124.0,3.0,4.0
ToeSegmentation2,YES,36,130,343,98,3.138,0.379,80.0,251.0,3.0,5.0
Worms,NO,181,77,900,99,3.448,0.699,482.0,1662.0,3.0,7.0
UWaveGestureLibraryAll,NO,896,3582,945,99,4.153,1.242,779.0,3235.0,3.0,11.0
ECG200,YES,100,100,96,101,4.042,1.148,72.0,291.0,3.0,7.0
Symbols,NO,25,995,398,103,3.143,0.35,91.0,286.0,3.0,4.0
SyntheticControl,NO,300,300,60,103,13.783,5.279,60.0,827.0,6.0,31.0
PhalangesOutlinesCorrect,NO,1800,858,80,115,47.112,10.536,80.0,3769.0,24.0,69.0
WormsTwoClass,NO,181,77,900,117,3.259,0.529,317.0,1033.0,3.0,6.0
Yoga,NO,300,3000,426,118,3.962,1.133,316.0,1252.0,3.0,8.0
ToeSegmentation1,NO,40,228,277,129,3.185,0.509,92.0,293.0,3.0,6.0
InlineSkate,NO,100,550,1882,130,3.148,0.413,447.0,1407.0,3.0,5.0
DistalPhalanxTW,NO,400,139,80,132,12.1,3.68,80.0,968.0,6.0,25.0
Adiac,NO,390,391,176,135,13.585,4.849,176.0,2391.0,5.0,30.0
Strawberry,NO,613,370,235,139,4.658,1.979,187.0,871.0,3.0,17.0
MixedShapesSmallTrain,NO,100,2425,1024,141,3.127,0.373,212.0,663.0,3.0,5.0
CricketX,NO,390,390,300,142,8.769,2.815,299.0,2622.0,3.0,17.0
TwoPatterns,NO,1000,4000,128,145,26.82,5.394,128.0,3433.0,15.0,46.0
MiddlePhalanxOutlineAgeGroup,NO,400,154,80,146,11.925,3.138,80.0,954.0,5.0,21.0
Phoneme,NO,214,1896,1024,159,4.018,1.086,819.0,3291.0,3.0,9.0
ShapesAll,NO,600,600,512,159,8.634,2.508,511.0,4412.0,3.0,19.0
UWaveGestureLibraryZ,NO,896,3582,315,163,11.263,3.266,315.0,3548.0,3.0,26.0
CricketZ,NO,390,390,300,168,8.809,3.064,298.0,2625.0,3.0,20.0
ItalyPowerDemand,YES,67,1029,24,169,5.5,2.082,24.0,132.0,3.0,11.0
Earthquakes,NO,322,139,512,169,3.67,0.949,324.0,1189.0,3.0,9.0
UMD,NO,36,144,150,171,3.507,0.767,71.0,249.0,3.0,6.0
MedicalImages,NO,381,760,99,172,15.99,4.749,99.0,1583.0,6.0,34.0
InsectWingbeatSound,NO,220,1980,256,175,5.657,2.023,242.0,1369.0,3.0,12.0
NonInvasiveFetalECGThorax1,NO,1800,1965,750,181,9.332,3.825,748.0,6980.0,3.0,24.0
Meat,YES,60,60,448,193,3.077,0.266,39.0,120.0,3.0,4.0
ProximalPhalanxTW,NO,400,205,80,208,11.709,4.06,79.0,925.0,6.0,24.0
SonyAIBORobotSurface2,YES,27,953,65,217,3.333,0.532,33.0,110.0,3.0,5.0
Lightning7,NO,70,73,319,217,3.579,0.811,164.0,587.0,3.0,7.0
LargeKitchenAppliances,NO,375,375,720,217,4.22,1.341,568.0,2397.0,3.0,11.0
OSULeaf,NO,200,242,427,222,4.376,1.294,364.0,1593.0,3.0,10.0
FaceAll,NO,560,1690,131,227,19.656,5.189,131.0,2575.0,8.0,36.0
Coffee,YES,28,28,286,233,3.111,0.314,27.0,84.0,3.0,4.0
BirdChicken,YES,20,20,512,233,3.024,0.152,42.0,127.0,3.0,4.0
ECGFiveDays,NO,23,861,136,233,3.261,0.529,46.0,150.0,3.0,5.0
GunPoint,YES,50,150,150,233,3.276,0.484,58.0,190.0,3.0,5.0
DistalPhalanxOutlineAgeGroup,NO,400,139,80,233,10.425,2.932,80.0,834.0,4.0,17.0
ProximalPhalanxOutlineAgeGroup,NO,400,205,80,233,10.95,3.751,80.0,876.0,3.0,21.0
SmallKitchenAppliances,NO,375,375,720,233,4.294,1.373,591.0,2538.0,3.0,11.0
CinCECGTorso,YES,40,1380,1639,245,3.102,0.354,118.0,366.0,3.0,5.0
MixedShapesRegularTrain,NO,500,2425,1024,251,3.493,0.772,556.0,1942.0,3.0,7.0
RefrigerationDevices,NO,375,375,720,270,3.917,1.037,564.0,2209.0,3.0,8.0
Plane,NO,105,105,144,277,3.733,0.982,86.0,321.0,3.0,7.0
OliveOil,NO,30,30,570,284,3.062,0.3,64.0,196.0,3.0,5.0
MiddlePhalanxTW,NO,399,154,80,285,19.125,3.6,80.0,1530.0,9.0,27.0
FiftyWords,NO,450,455,270,290,11.941,3.412,270.0,3224.0,5.0,23.0
Beef,NO,30,30,470,299,3.248,0.541,113.0,367.0,3.0,5.0
MoteStrain,YES,20,1252,84,300,3.263,0.714,38.0,124.0,3.0,6.0
CBF,NO,30,900,128,300,3.633,0.8,49.0,178.0,3.0,6.0
ArrowHead,NO,36,175,251,300,3.186,0.424,70.0,223.0,3.0,5.0
Herring,NO,64,64,512,300,3.159,0.405,132.0,417.0,3.0,5.0
Mallat,NO,55,2345,1024,300,3.121,0.403,141.0,440.0,3.0,5.0
Car,NO,60,60,577,300,3.163,0.387,153.0,484.0,3.0,5.0
DistalPhalanxOutlineCorrect,NO,600,276,80,300,15.35,4.765,80.0,1228.0,6.0,33.0
Fish,NO,175,175,463,300,3.898,1.102,324.0,1263.0,3.0,8.0
ProximalPhalanxOutlineCorrect,NO,600,291,80,300,16.238,5.028,80.0,1299.0,8.0,34.0
Computers,NO,250,250,720,300,3.537,0.827,404.0,1429.0,3.0,9.0
Haptics,NO,155,308,1092,300,3.317,0.642,461.0,1529.0,3.0,6.0
WordSynonyms,NO,267,638,270,300,7.668,2.505,268.0,2055.0,3.0,16.0
CricketY,NO,390,390,300,300,8.597,2.804,300.0,2579.0,3.0,17.0
UWaveGestureLibraryX,NO,896,3582,315,300,10.775,3.199,315.0,3394.0,4.0,20.0
UWaveGestureLibraryY,NO,896,3582,315,300,11.057,3.076,315.0,3483.0,3.0,19.0
StarlightCurves,NO,0,0,0,,,,,,,
