sample_id,robustness,predicted_label,actual_label,correct_prediction
TwoLeadECG_1_43,0.7091087732352888,1,2,False
TwoLeadECG_1_400,0.7109370910311328,1,1,True
TwoLeadECG_1_401,0.706052341493142,1,2,False
TwoLeadECG_1_402,0.7095850186069391,1,1,True
TwoLeadECG_1_403,0.7152381351152283,1,1,True
TwoLeadECG_1_404,0.7099932154855149,1,1,True
TwoLeadECG_1_405,0.7116373600806974,1,2,False
TwoLeadECG_1_406,0.7102171374518709,1,1,True
TwoLeadECG_1_407,0.7104189354977556,1,2,False
TwoLeadECG_1_408,0.7064664722471354,1,2,False
TwoLeadECG_1_409,0.7135371670264368,1,1,True
TwoLeadECG_1_40,0.7085853283048675,1,1,True
TwoLeadECG_1_410,0.7111232196541386,1,1,True
TwoLeadECG_1_411,0.7054436211006521,1,1,True
TwoLeadECG_1_412,0.7091235240792864,1,1,True
TwoLeadECG_1_413,0.7080489175464804,1,2,False
TwoLeadECG_1_414,0.7064086968351528,1,2,False
TwoLeadECG_1_415,0.7104819389263661,1,1,True
TwoLeadECG_1_416,0.7113105975235356,1,1,True
TwoLeadECG_1_417,0.7131712869446227,1,1,True
TwoLeadECG_1_418,0.7104994534659641,1,2,False
TwoLeadECG_1_419,0.7081835027986239,1,1,True
TwoLeadECG_1_41,0.7086995836081276,1,1,True
TwoLeadECG_1_420,0.7069078529970614,1,1,True
TwoLeadECG_1_421,0.7108572273735944,1,1,True
TwoLeadECG_1_422,0.7101816140426216,1,1,True
TwoLeadECG_1_423,0.7103685352008189,1,1,True
TwoLeadECG_1_424,0.7061160653341347,1,1,True
TwoLeadECG_1_425,0.7084756743607536,1,1,True
TwoLeadECG_1_426,0.7109551431728003,1,1,True
TwoLeadECG_1_427,0.7073893516616929,1,1,True
TwoLeadECG_1_428,0.7096989255549941,1,1,True
TwoLeadECG_1_429,0.7086746494895518,1,2,False
TwoLeadECG_1_42,0.7072251620501151,1,1,True
TwoLeadECG_1_430,0.7092459810909435,1,1,True
TwoLeadECG_1_431,0.7088723846265733,1,2,False
TwoLeadECG_1_432,0.709674489208193,1,2,False
TwoLeadECG_1_433,0.7093240046656657,1,1,True
TwoLeadECG_1_434,0.711891904095898,1,1,True
TwoLeadECG_1_435,0.7082855746619332,1,1,True
TwoLeadECG_1_436,0.7090850555287391,1,2,False
TwoLeadECG_1_437,0.7115352984333039,1,2,False
TwoLeadECG_1_438,0.7105237363831549,1,1,True
TwoLeadECG_1_439,0.7102265943189122,1,1,True
TwoLeadECG_1_47,0.7101864130535107,1,1,True
TwoLeadECG_1_440,0.7064215032156479,1,2,False
TwoLeadECG_1_441,0.7099852818244816,1,1,True
TwoLeadECG_1_442,0.708831256137358,1,2,False
TwoLeadECG_1_443,0.7086127036095635,1,1,True
TwoLeadECG_1_444,0.7089734908114405,1,1,True
TwoLeadECG_1_445,0.7066109804714098,1,1,True
TwoLeadECG_1_446,0.7102339581399546,1,1,True
TwoLeadECG_1_447,0.7094828205936747,1,1,True
TwoLeadECG_1_448,0.7078267349858995,1,1,True
TwoLeadECG_1_449,0.7120940884033398,1,1,True
TwoLeadECG_1_44,0.7089055725946125,1,2,False
TwoLeadECG_1_450,0.7056855118740101,1,2,False
TwoLeadECG_1_451,0.709597527701943,1,1,True
TwoLeadECG_1_452,0.7090327203806416,1,2,False
TwoLeadECG_1_453,0.7103640867524821,1,1,True
TwoLeadECG_1_454,0.7096256798695855,1,1,True
TwoLeadECG_1_455,0.7099441449268555,1,1,True
TwoLeadECG_1_456,0.7080688798638394,1,1,True
TwoLeadECG_1_457,0.7081055145386876,1,2,False
TwoLeadECG_1_458,0.7081849022451439,1,1,True
TwoLeadECG_1_459,0.7124285608270676,1,1,True
TwoLeadECG_1_45,0.7077718173017966,1,1,True
TwoLeadECG_1_460,0.7080045892900497,1,1,True
TwoLeadECG_1_461,0.7067087335816546,1,2,False
TwoLeadECG_1_462,0.7090059692805779,1,1,True
TwoLeadECG_1_463,0.7085077900725523,1,1,True
TwoLeadECG_1_464,0.7064903723079186,1,1,True
TwoLeadECG_1_465,0.7102123417211101,1,1,True
TwoLeadECG_1_466,0.7101346409310906,1,1,True
TwoLeadECG_1_467,0.7054935440345054,1,1,True
TwoLeadECG_1_468,0.7095919760740352,1,1,True
TwoLeadECG_1_469,0.7075197740432195,1,2,False
TwoLeadECG_1_46,0.7091992430585741,1,1,True
TwoLeadECG_1_470,0.7085024732771135,1,1,True
TwoLeadECG_1_471,0.7140369730296321,1,1,True
TwoLeadECG_1_472,0.7080950502026302,1,1,True
TwoLeadECG_1_473,0.7081696947779471,1,1,True
TwoLeadECG_1_474,0.7044456888754602,1,1,True
TwoLeadECG_1_475,0.7049417550869104,1,2,False
TwoLeadECG_1_476,0.7070036276278832,1,2,False
TwoLeadECG_1_477,0.7127578822040395,1,2,False
TwoLeadECG_1_478,0.7059738159993485,1,2,False
TwoLeadECG_1_479,0.7138665356003228,1,2,False
TwoLeadECG_1_480,0.7088578100693658,1,2,False
TwoLeadECG_1_481,0.7073765170767172,1,1,True
TwoLeadECG_1_482,0.70807387399515,1,2,False
TwoLeadECG_1_483,0.7090643169576181,1,1,True
TwoLeadECG_1_484,0.7087740986510385,1,1,True
TwoLeadECG_1_485,0.7089836942597898,1,1,True
TwoLeadECG_1_486,0.7119785449882226,1,1,True
TwoLeadECG_1_487,0.708369822632426,1,1,True
TwoLeadECG_1_488,0.7101238071695865,1,2,False
TwoLeadECG_1_489,0.7052867340924065,1,1,True
TwoLeadECG_1_48,0.7086136144852913,1,1,True
TwoLeadECG_1_490,0.7095219332784264,1,1,True
TwoLeadECG_1_491,0.7078205022619934,1,1,True
TwoLeadECG_1_492,0.7083813626853692,1,2,False
TwoLeadECG_1_493,0.7119583861638114,1,1,True
TwoLeadECG_1_494,0.7088550375593288,1,1,True
TwoLeadECG_1_495,0.7089903401285479,1,1,True
TwoLeadECG_1_496,0.7095138158459998,1,1,True
TwoLeadECG_1_497,0.7111178429662925,1,1,True
TwoLeadECG_1_498,0.7087030735306326,1,1,True
TwoLeadECG_1_499,0.7118462592134323,1,2,False
TwoLeadECG_1_49,0.7112745768592232,1,1,True
