dataset,CAN,R,NR,CAR,AR,GP,BP,PR,AP,TOT,selected_sample
BeetleFly,214447,9319,1695,460178,2066,9319,1693,0,1705,700422,13
BirdChicken,152906,906,1320,370182,1353,906,1318,0,1296,530187,10
Coffee,163814,95,70,124507,98,95,70,1,68,288818,15
ECG200,117381,43,6,105182,36,38,6,29,36,222757,29
ECG5000,338578,1806,0,0,0,32,0,1778,0,342194,2777
GunPoint,0,1123,316,147517,6083,792,239,0,187,156257,81
HandOutlines,3607,1931,411,50810,555,1865,349,0,359,59887,131
MelbournePedestrian,38823,239,0,0,0,32,0,243,0,39337,244
MiddlePhalanxOutlineCorrect,111624,132,8,71352,39,40,8,110,39,183352,110
OliveOil,532570,35,0,0,0,32,0,5,0,532642,5
SonyAIBORobotSurface1,0,4902,727,303484,12237,3784,573,0,260,325967,163
SonyAIBORobotSurface2,64251,463,2,78248,33,34,2,445,33,143511,445
Wafer,637101,633,0,0,0,32,0,606,0,638372,643
Wine,32397,57,24,49057,55,53,24,36,55,81758,36
