dataset,category,count,mean,std,min,max
Wine,Correct,24,0.709741,0.01269,0.671146,0.724607
Wine,Incorrect,12,0.701663,0.016883,0.675434,0.721166
Wine,Overall,36,0.707048,0.014503,0.671146,0.724607
MiddlePhalanxOutlineCorrect,Correct,90,0.792123,0.03732,0.685215,0.881385
MiddlePhalanxOutlineCorrect,Incorrect,20,0.789021,0.048922,0.651628,0.859553
MiddlePhalanxOutlineCorrect,Overall,110,0.791559,0.039444,0.651628,0.881385
SonyAIBORobotSurface1,Correct,145,0.705733,0.005313,0.687049,0.718881
SonyAIBORobotSurface1,Incorrect,18,0.697735,0.004918,0.69031,0.709201
SonyAIBORobotSurface1,Overall,163,0.704849,0.005827,0.687049,0.718881
BeetleFly,Correct,10,0.822145,0.01036,0.81521,0.849555
BeetleFly,Incorrect,3,0.813666,0.016346,0.795711,0.827682
BeetleFly,Overall,13,0.820188,0.011783,0.795711,0.849555
TwoLeadECG,Correct,487,0.709384,0.00192,0.702511,0.716838
TwoLeadECG,Incorrect,168,0.708956,0.00231,0.702397,0.713867
TwoLeadECG,Overall,655,0.709274,0.002034,0.702397,0.716838
Lightning2,Correct,19,0.521989,0.027529,0.446866,0.555458
Lightning2,Incorrect,7,0.50923,0.017171,0.476132,0.522461
Lightning2,Overall,26,0.518554,0.02549,0.446866,0.555458
FaceFour,Correct,14,0.627454,0.014586,0.591353,0.645533
FaceFour,Incorrect,1,0.539014,,0.539014,0.539014
FaceFour,Overall,15,0.621558,0.026814,0.539014,0.645533
ToeSegmentation2,Correct,84,0.717104,0.006126,0.701592,0.729526
ToeSegmentation2,Incorrect,10,0.712852,0.005162,0.706279,0.721529
ToeSegmentation2,Overall,94,0.716652,0.006148,0.701592,0.729526
ECG200,Correct,23,0.514534,0.024255,0.461419,0.550814
ECG200,Incorrect,6,0.486016,0.051082,0.392866,0.530796
ECG200,Overall,29,0.508634,0.032656,0.392866,0.550814
ItalyPowerDemand,Correct,476,0.432011,0.006277,0.41279,0.444176
ItalyPowerDemand,Incorrect,19,0.425242,0.005902,0.412607,0.436897
ItalyPowerDemand,Overall,495,0.431751,0.006391,0.412607,0.444176
Meat,Correct,17,0.760524,0.003877,0.752966,0.768219
Meat,Incorrect,1,0.758731,,0.758731,0.758731
Meat,Overall,18,0.760424,0.003785,0.752966,0.768219
SonyAIBORobotSurface2,Correct,307,0.522752,0.037227,0.384091,0.599557
SonyAIBORobotSurface2,Incorrect,138,0.538747,0.031103,0.442969,0.592944
SonyAIBORobotSurface2,Overall,445,0.527712,0.036173,0.384091,0.599557
Coffee,Correct,15,0.757749,0.030328,0.687749,0.793899
Coffee,Overall,15,0.757749,0.030328,0.687749,0.793899
BirdChicken,Correct,5,0.843263,0.000762,0.842438,0.844314
BirdChicken,Incorrect,5,0.828082,0.016565,0.799656,0.84214
BirdChicken,Overall,10,0.835672,0.013647,0.799656,0.844314
GunPoint,Correct,69,0.854236,0.00194,0.850253,0.859377
GunPoint,Incorrect,12,0.853034,0.001607,0.851001,0.856289
GunPoint,Overall,81,0.854058,0.001934,0.850253,0.859377
CinCECGTorso,Correct,123,0.822992,0.001779,0.817234,0.829324
CinCECGTorso,Incorrect,6,0.821558,0.00276,0.817526,0.82552
CinCECGTorso,Overall,129,0.822925,0.001846,0.817234,0.829324
MoteStrain,Correct,615,0.608136,0.029702,0.462442,0.690457
MoteStrain,Incorrect,84,0.619195,0.032147,0.548697,0.676502
MoteStrain,Overall,699,0.609465,0.030197,0.462442,0.690457
