dataset,Candidate,Reason,Non-reason,Candidate Anti-reason,Anti-reason,Good profile,Bad profile,Preferred reason,Anti-reason profile,Total
BeetleFly,214447,9319,1695,460178,2066,9319,1693,0,1705,700422
SonyAIBORobotSurface1,0,4902,727,303484,12237,3784,573,0,260,325967
HandOutlines,3607,1931,411,50810,555,1865,349,0,359,59887
ItalyPowerDemand,0,1294,357,0,4942,939,292,0,24,7848
TwoLeadECG,0,1153,551,484385,22215,845,457,0,398,510004
GunPoint,0,1123,316,147517,6083,792,239,0,187,156257
BirdChicken,152906,906,1320,370182,1353,906,1318,0,1296,530187
MoteStrain,155416,718,8,114422,39,40,8,698,39,271388
SonyAIBORobotSurface2,64251,463,2,78248,33,34,2,445,33,143511
ToeSegmentation2,122826,342,329,96095,412,342,328,94,356,221124
CinCECGTorso,88353,167,44,86683,73,73,44,129,73,175639
MiddlePhalanxOutlineCorrect,111624,132,8,71352,39,40,8,110,39,183352
Coffee,163814,95,70,124507,98,95,70,1,68,288818
Lightning2,396691,62,19,315023,49,51,19,26,49,711989
Wine,32397,57,24,49057,55,53,24,36,55,81758
ECG200,117381,43,6,105182,36,38,6,29,36,222757
FaceFour,163050,39,7,144617,36,38,7,15,34,307843
Meat,85609,38,6,118759,36,38,6,14,36,204542
