dataset,correct_mean,incorrect_mean,difference,correct_count,incorrect_count
FaceFour,0.627454,0.539014,0.08843999999999996,14,1
ECG200,0.514534,0.486016,0.028518000000000043,23,6
BirdChicken,0.843263,0.828082,0.015181,5,5
Lightning2,0.521989,0.50923,0.012759000000000076,19,7
BeetleFly,0.822145,0.813666,0.008479000000000014,10,3
Wine,0.709741,0.701663,0.008077999999999919,24,12
SonyAIBORobotSurface1,0.705733,0.697735,0.00799800000000006,145,18
ItalyPowerDemand,0.432011,0.425242,0.0067689999999999695,476,19
ToeSegmentation2,0.717104,0.712852,0.0042519999999999225,84,10
MiddlePhalanxOutlineCorrect,0.792123,0.789021,0.003102000000000049,90,20
Meat,0.760524,0.758731,0.0017929999999999335,17,1
CinCECGTorso,0.822992,0.821558,0.0014339999999999353,123,6
GunPoint,0.854236,0.853034,0.0012020000000000364,69,12
TwoLeadECG,0.709384,0.708956,0.00042799999999998395,487,168
MoteStrain,0.608136,0.619195,-0.011059000000000041,615,84
SonyAIBORobotSurface2,0.522752,0.538747,-0.01599499999999998,307,138
